system   D            wsystem.c:583  maybe_parent_dir                 [   0.00071] Also searching D:\CPP\ants\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00128] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00131] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00808] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.01837] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.01843] Allegro version: 5.0.6
dtor     D               dtor.c:184  _al_register_destructor          [   0.02251] added dtor for object 00A11A18, func 55652711
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.02423] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.02636] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02640] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02642] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02644] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02646] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02648] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02650] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02651] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02656] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02658] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02660] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02662] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02664] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02665] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02666] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02667] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02668] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02669] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02670] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02671] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02672] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02673] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02674] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02675] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02676] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02677] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02678] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02679] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02680] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02682] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02683] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02684] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02690] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02691] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02692] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02693] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.02694] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02695] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02696] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02697] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02699] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02700] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02701] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02702] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02703] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02704] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02705] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02706] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02707] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02708] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02709] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02710] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02711] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02712] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02714] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02715] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02716] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02717] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02718] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02719] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02720] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02721] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02722] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02723] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02724] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02725] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02726] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02728] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02729] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02730] Single Buffer requirement not met.
